"","INSPECTION_YEAR","ORIGIN","PEST_TAXONOMY_GENUS","PEST_TAXONOMY_SPECIES","PEST_TAXON_SIMPLE_NAME","COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","total_pests"
"184",2021,"Guatemala","Copitarsia",NA,"Copitarsia","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",1
"185",2021,"Guatemala","Copitarsia",NA,"Copitarsia","Brassica oleracea var. botrytis  - CAULIFLOWER","Brassica oleracea var. botrytis ",1
"186",2021,"Guatemala","Copitarsia",NA,"Copitarsia","Brassica oleracea var. italica  - Brassica oleracea italica","Brassica oleracea var. italica ",2
"187",2021,"Guatemala","Copitarsia",NA,"Copitarsia","Cichorium sp.  - Cichorium","Cichorium sp. ",1
"188",2021,"Guatemala","Copitarsia",NA,"Copitarsia","Daucus carota subsp. sativus - CARROT","Daucus carota subsp. sativus",1
"189",2021,"Guatemala","Copitarsia",NA,"Copitarsia","Dianthus sp. - Dianthus","Dianthus sp.",1
"190",2021,"Guatemala","Copitarsia",NA,"Copitarsia","Helianthus sp. - Helianthus","Helianthus sp.",1
"191",2021,"Guatemala","Copitarsia",NA,"Copitarsia","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)",1
"192",2021,"Guatemala","Copitarsia",NA,"Copitarsia","Phaseolus sp.  - GREEN BEAN","Phaseolus sp. ",2
"193",2021,"Guatemala","Copitarsia",NA,"Copitarsia","Pisum sativum (Fabaceae) - PEA","Pisum sativum (Fabaceae)",3
"194",2021,"Guatemala","Copitarsia",NA,"Copitarsia","Pisum sativum var. macrocarpon  - Pisum sativum macrocarpon","Pisum sativum var. macrocarpon ",1
"195",2021,"Guatemala","Copitarsia",NA,"Copitarsia","Tagetes sp. - Tagetes","Tagetes sp.",1
"196",2021,"Honduras","Copitarsia",NA,"Copitarsia","Capsicum annuum - BELL PEPPER","Capsicum annuum",1
"197",2021,"Mexico","Copitarsia","decolora","decolora","Brassica oleracea var. italica  - Brassica oleracea italica","Brassica oleracea var. italica ",2
"198",2021,"Mexico","Copitarsia","decolora","decolora","Brassica oleracea var. viridis  - KALE","Brassica oleracea var. viridis ",6
"199",2021,"Mexico","Copitarsia","decolora","decolora","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae) - Huazontle","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae)",1
