"","INSPECTION_YEAR","ORIGIN","COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","total_pests"
"266",2022,"Ecuador","Rosa sp. - Rosa","Rosa sp.",6
"267",2022,"Ecuador","Ruscus sp. - Ruscus","Ruscus sp.",1
"268",2022,"Ecuador","Scabiosa sp. - Scabiosa","Scabiosa sp.",3
"269",2022,"Ecuador","Tagetes sp. - Tagetes","Tagetes sp.",2
"270",2022,"Ecuador","Veronica sp. - Veronica","Veronica sp.",3
"271",2022,"Guatemala","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",2
"272",2022,"Guatemala","Impatiens hawkeri - Impatiens hawkerii","Impatiens hawkeri",1
"273",2022,"Guatemala","Phaseolus sp.  - GREEN BEAN","Phaseolus sp. ",1
"274",2022,"Guatemala","Pisum sativum (Fabaceae) - PEA","Pisum sativum (Fabaceae)",1
"275",2022,"Guatemala","Pisum sativum var. macrocarpon  - Pisum sativum macrocarpon","Pisum sativum var. macrocarpon ",3
"276",2022,"Mexico","Allium ampeloprasum - LEEK","Allium ampeloprasum",4
"277",2022,"Mexico","Allium fistulosum - GREEN ONION","Allium fistulosum",1
"278",2022,"Mexico","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",3
"279",2022,"Mexico","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",8
"280",2022,"Mexico","Apium graveolens var. dulce - CELERY","Apium graveolens var. dulce",55
"281",2022,"Mexico","Artemisia dracunculus (Asteraceae) - TARRAGON","Artemisia dracunculus (Asteraceae)",1
"282",2022,"Mexico","Brassica oleracea var. capitata  - CABBAGE","Brassica oleracea var. capitata ",3
"283",2022,"Mexico","Brassica oleracea var. italica  - Brassica oleracea italica","Brassica oleracea var. italica ",62
"284",2022,"Mexico","Brassica oleracea var. viridis  - KALE","Brassica oleracea var. viridis ",18
"285",2022,"Mexico","Brassica rapa subsp. pekinensis (Brassicaceae) - CHINESE CABBAGE","Brassica rapa subsp. pekinensis (Brassicaceae)",3
"286",2022,"Mexico","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae) - Huazontle","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae)",8
"287",2022,"Mexico","Coriandrum sativum (Apiaceae) - Coriandrum sativum ","Coriandrum sativum (Apiaceae)",4
"288",2022,"Mexico","Cynara scolymus - GLOBE ARTICHOKE","Cynara scolymus",2
"289",2022,"Mexico","Dianthus sp. - Dianthus","Dianthus sp.",1
"290",2022,"Mexico","Eustoma sp. - Eustoma","Eustoma sp.",2
"291",2022,"Mexico","Gladiolus sp. - Gladiolus","Gladiolus sp.",1
"292",2022,"Mexico","Gypsophila sp. - Gypsophila","Gypsophila sp.",1
"293",2022,"Mexico","Jacobaea sp. - Jacobaea","Jacobaea sp.",1
"294",2022,"Mexico","Lactuca sativa - LETTUCE","Lactuca sativa",5
"295",2022,"Mexico","Lactuca sativa var. longifolia - Romaine Lettuce","Lactuca sativa var. longifolia",1
"296",2022,"Mexico","Limonium sp. - Limonium","Limonium sp.",1
"297",2022,"Mexico","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)",2
"298",2022,"Mexico","Pisum sativum var. macrocarpon  - Pisum sativum macrocarpon","Pisum sativum var. macrocarpon ",1
"299",2022,"Mexico","Rosa sp. - Rosa","Rosa sp.",1
"300",2022,"Mexico","Sechium edule - CHAYOTE","Sechium edule",1
"301",2022,"Mexico","Spinacia oleracea - SPINACH","Spinacia oleracea",1
"302",2022,"Mexico","Thymus vulgaris - THYME","Thymus vulgaris",1
"303",2022,"Mexico","Zantedeschia sp. - Zantedeschia","Zantedeschia sp.",1
"304",2022,"Mexico",NA,NA,18
"305",2022,"Montenegro","Amaranthus sp.  - Amaranthus","Amaranthus sp. ",1
"306",2022,"Netherlands","Eryngium sp. - Eryngium","Eryngium sp.",1
"307",2023,"Colombia","Allium schoenoprasum - CHIVE","Allium schoenoprasum",21
"308",2023,"Colombia","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",172
"309",2023,"Colombia","Anemone sp. - Anemone","Anemone sp.",7
"310",2023,"Colombia","Anethum graveolens - DILL","Anethum graveolens",11
"311",2023,"Colombia","Anthurium sp. - Anthurium","Anthurium sp.",1
"312",2023,"Colombia","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",2
"313",2023,"Colombia","Artemisia dracunculus (Asteraceae) - TARRAGON","Artemisia dracunculus (Asteraceae)",5
"314",2023,"Colombia","Aster sp.  - Aster","Aster sp. ",4
"315",2023,"Colombia","Brassia sp.  - Brassia","Brassia sp. ",1
"316",2023,"Colombia","Callistephus sp.  - Callistephus","Callistephus sp. ",4
"317",2023,"Colombia","Campanula sp. - Campanula","Campanula sp.",5
"318",2023,"Colombia","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",62
"319",2023,"Colombia","Dianthus caryophyllus - Dianthus caryophyllus","Dianthus caryophyllus",1
"320",2023,"Colombia","Dianthus sp. - Dianthus","Dianthus sp.",22
"321",2023,"Colombia","Eryngium sp. - Eryngium","Eryngium sp.",4
"322",2023,"Colombia","Eucalyptus sp. - Eucalyptus","Eucalyptus sp.",1
"323",2023,"Colombia","Gerbera sp.  - Gerbera","Gerbera sp. ",3
"324",2023,"Colombia","Gypsophila sp. - Gypsophila","Gypsophila sp.",2
"325",2023,"Colombia","Helianthus sp. - Helianthus","Helianthus sp.",9
"326",2023,"Colombia","Hydrangea sp. - Hydrangea","Hydrangea sp.",5
"327",2023,"Colombia","Lepidium sp. - Lepidium","Lepidium sp.",1
"328",2023,"Colombia","Lilium sp. - Lilium","Lilium sp.",2
"329",2023,"Colombia","Limonium sp. - Limonium","Limonium sp.",4
"330",2023,"Colombia","Mentha sp. - MINT","Mentha sp.",65
