"COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","INSPECTION_PATHWAY","total_pests"
"Other","Delphinium sp.","Airport - Aircraft - Cargo - CBP",5
"Other","Eucalyptus sp.","Land Border - Truck - Cargo - CBP",5
"Other","Gerbera sp. ","Land Border - Truck - Conveyance - CBP",5
"Other","Gladiolus sp.","Airport - Aircraft - Cargo - CBP",5
"Other","Lippia graveolens","Land Border - Truck - Cargo - CBP",5
"Other","Polianthes sp.","Land Border - Truck - Cargo - CBP",5
"Other","Rubus sp.","Airport - Aircraft - Cargo - CBP",5
"Other","Scabiosa sp.","Airport - Aircraft - Cargo - CBP",5
"Other","Solanum lycopersicum","Maritime Port - Vessel - Cargo - CBP",5
"Other","Solanum melongena","Land Border - Truck - Cargo - CBP",5
"Other","Xanthosoma sp.","Maritime Port - Vessel - Cargo - CBP",5
"Other","Abelmoschus esculentus","Maritime Port - Vessel - Cargo - CBP",4
"Other","Artemisia sp. ","Airport - Aircraft - Cargo - CBP",4
"Other","Asclepias sp.","Airport - Aircraft - Cargo - CBP",4
"Other","Asparagus officinalis","Airport - Aircraft - Cargo - CBP",4
"Other","Benincasa hispida","Maritime Port - Vessel - Cargo - CBP",4
"Other","Capsicum annuum","Airport - Aircraft - Cargo - CBP",4
"Other","Celosia sp.","Airport - Aircraft - Cargo - CBP",4
"Other","Crotalaria longirostrata","Airport - Aircraft - Cargo - CBP",4
"Other","Cucumis sativus","Maritime Port - Vessel - Cargo - CBP",4
"Other","Liatris sp. ","Land Border - Truck - Cargo - CBP",4
"Other","Momordica charantia (Cucurbitaceae)","Land Border - Truck - Cargo - CBP",4
"Other","Nerium sp.","Airport - Aircraft - Cargo - CBP",4
"Other","Origanum vulgare","Land Border - Truck - Cargo - CBP",4
"Other","Pisum sativum (Fabaceae)","Land Border - Truck - Cargo - CBP",4
"Other","Polianthes sp.","Airport - Aircraft - Cargo - CBP",4
"Other","Ruscus sp.","Airport - Aircraft - Cargo - CBP",4
"Other","Vigna unguiculata subsp. unguiculata f. sesquipedalis","Land Border - Truck - Cargo - CBP",4
"Other","Vitis sp.","Maritime Port - Vessel - Cargo - CBP",4
"Other",NA,"Land Border - Truck - Cargo - CBP",4
"Other",NA,"Maritime Port - Vessel - Cargo - CBP",4
"Apium graveolens var. dulce  - CELERY","Apium graveolens var. dulce ","Maritime Port - Vessel - Cargo - CBP",3
"Other","Aeonium sp.","Airport - Aircraft - Cargo - PIS",3
"Other","Allium ampeloprasum","Land Border - Truck - Conveyance - CBP",3
"Other","Allium porrum","Land Border - Truck - Cargo - CBP",3
"Other","Alstroemeria sp.","Maritime Port - Vessel - Cargo - CBP",3
"Other","Brassica oleracea var. gongylodes ","Land Border - Truck - Cargo - CBP",3
"Other","Callistephus sp. ","Land Border - Truck - Cargo - CBP",3
"Other","Carica papaya (Caricaceae)","Maritime Port - Vessel - Cargo - CBP",3
"Other","Carthamus sp. ","Land Border - Truck - Cargo - CBP",3
"Other","Chrysanthemum sp. ","Land Border - Truck - Cargo - CBP",3
"Other","Citrullus lanatus","Land Border - Truck - Cargo - CBP",3
"Other","Craspedia sp. ","Land Border - Truck - Cargo - CBP",3
"Other","Daucus carota subsp. sativus (Apiaceae)","Maritime Port - Vessel - Cargo - CBP",3
"Other","Eucalyptus sp.","Airport - Aircraft - Cargo - CBP",3
"Other","Helianthus sp. ","Land Border - Truck - Conveyance - CBP",3
"Other","Hoya sp.","Airport - Aircraft - Cargo - PIS",3
"Other","Lactuca sativa var. longifolia ","Airport - Aircraft - Cargo - CBP",3
"Other","Lagenaria siceraria (Cucurbitaceae)","Airport - Aircraft - Cargo - CBP",3
"Other","Lilium sp.","Airport - Aircraft - Cargo - CBP",3
"Other","Matthiola sp.","Airport - Aircraft - Cargo - CBP",3
"Other","Mentha piperita","Land Border - Truck - Cargo - CBP",3
"Other","Perilla frutescens (Lamiaceae)","Airport - Aircraft - Cargo - CBP",3
"Other","Pittosporum sp.","Airport - Aircraft - Cargo - CBP",3
"Other","Rosa sp.","Land Border - Truck - Conveyance - CBP",3
"Other","Rosmarinus officinalis","Land Border - Truck - Cargo - CBP",3
"Other","Salvia officinalis","Land Border - Truck - Cargo - CBP",3
"Other","Schefflera arboricola","Airport - Aircraft - Cargo - PIS",3
"Other","Sechium edule","Land Border - Truck - Cargo - CBP",3
"Other","Solanum lycopersicum","Land Border - Truck - Cargo - CBP",3
"Other","Tradescantia pallida","Airport - Aircraft - Cargo - PIS",3
"Other","Veronica sp.","Airport - Aircraft - Cargo - CBP",3
"Other","Zantedeschia sp.","Airport - Aircraft - Cargo - CBP",3
NA,NA,"Airport - Aircraft - Conveyance - CBP",3
"Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)","Land Border - Truck - Conveyance - CBP",2
"Other","Adenium obesum","Maritime Port - Vessel - Cargo - PIS",2
"Other","Agapanthus sp.","Land Border - Truck - Cargo - CBP",2
"Other","Amaranthus sp. ","Land Border - Truck - Conveyance - CBP",2
"Other","Anemone sp.","Land Border - Truck - Cargo - CBP",2
"Other","Anthriscus cerefolium (Apiaceae)","Airport - Aircraft - Cargo - CBP",2
"Other","Astilbe sp.","Airport - Aircraft - Cargo - CBP",2
"Other","Astrantia sp. ","Airport - Aircraft - Cargo - CBP",2
"Other","Basilicum sp.","Airport - Aircraft - Cargo - CBP",2
"Other","Begonia sp.","Airport - Aircraft - Cargo - PIS",2
"Other","Benincasa hispida","Land Border - Truck - Cargo - CBP",2
"Other","Bupleurum sp. ","Airport - Aircraft - Cargo - CBP",2
"Other","Cichorium sp. ","Airport - Aircraft - Cargo - CBP",2
"Other","Citrus limetta (Rutaceae)","Maritime Port - Vessel - Cargo - CBP",2
"Other","Citrus sinensis (Rutaceae)","Maritime Port - Vessel - Cargo - CBP",2
"Other","Colocasia esculenta","Maritime Port - Vessel - Cargo - CBP",2
"Other","Cordyline sp.","Airport - Aircraft - Cargo - PIS",2
"Other","Delphinium sp.","Land Border - Truck - Cargo - CBP",2
"Other","Dendrobium hybrid","Airport - Aircraft - Cargo - PIS",2
"Other","Dianthus caryophyllus","Land Border - Truck - Cargo - CBP",2
"Other","Eryngium sp. ","Airport - Aircraft - Cargo - CBP",2
"Other","Eustoma sp.","Land Border - Truck - Conveyance - CBP",2
"Other","Gypsophila sp.","Land Border - Truck - Conveyance - CBP",2
"Other","Helianthus sp. ","Maritime Port - Vessel - Cargo - CBP",2
"Other","Hydrangea sp.","Airport - Aircraft - Express Carrier - CBP",2
"Other","Hydrangea sp.","Land Border - Truck - Cargo - CBP",2
"Other","Hydrangea sp.","Maritime Port - Vessel - Cargo - CBP",2
"Other","Hylocereus undatus","Airport - Aircraft - Cargo - CBP",2
"Other","Hylocereus undatus","Maritime Port - Vessel - Cargo - PIS",2
"Other","Iris sp.","Land Border - Truck - Cargo - CBP",2
"Other","Kalanchoe sp.","Airport - Aircraft - Cargo - CBP",2
"Other","Lactuca sativa var. crispa ","Land Border - Truck - Cargo - CBP",2
"Other","Lilium sp.","Land Border - Truck - Conveyance - CBP",2
"Other","Lilium sp.","Maritime Port - Vessel - Cargo - CBP",2
"Other","Limonium sp.","Land Border - Truck - Conveyance - CBP",2
"Other","Limonium sp.","Maritime Port - Vessel - Cargo - CBP",2
"Other","Manihot esculenta subsp. esculenta","Maritime Port - Vessel - Cargo - CBP",2
"Other","Melicoccus bijugatus","Airport - Aircraft - Cargo - CBP",2
"Other","Melicoccus bijugatus","Maritime Port - Vessel - Cargo - CBP",2
"Other","Mentha sp.","Airport - Aircraft - Cargo - CBP",2
"Other","Moluccella sp.","Airport - Aircraft - Cargo - CBP",2
"Other","Monstera sp.","Airport - Aircraft - Cargo - PIS",2
"Other","Monstera sp.","Airport - Aircraft - Mail - PIS Mail",2
"Other","Musa sp.","Land Border - Truck - Cargo - CBP",2
"Other","Myriophyllum aquaticum","Airport - Aircraft - Cargo - PIS",2
"Other","Ornithogalum sp.","Airport - Aircraft - Cargo - CBP",2
"Other","Phaseolus sp. ","Land Border - Truck - Cargo - CBP",2
"Other","Portulaca molokiniensis  (Portulacaceae)","Airport - Aircraft - Express Carrier - PIS",2
"Other","Ranunculus sp.","Land Border - Truck - Cargo - CBP",2
"Other","Ruscus sp.","Land Border - Truck - Cargo - CBP",2
"Other","Sechium edule","Maritime Port - Vessel - Cargo - CBP",2
"Other","Spinacia oleracea","Airport - Aircraft - Cargo - CBP",2
"Other","Thymus citriodorus","Airport - Aircraft - Cargo - CBP",2
"Other","Trichosanthes cucumerina var. anguina","Maritime Port - Vessel - Cargo - CBP",2
NA,NA,"Maritime Port - Vessel - Cargo - PIS",2
NA,NA,NA,2
"Capsicum sp. - Chili Pepper","Capsicum sp.","Land Border - Truck - Conveyance - CBP",1
"Other","Abies sp.","Maritime Port - Vessel - Cargo - CBP",1
"Other","Acanthocereus sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Acanthocereus sp.","Maritime Port - Vessel - Cargo - CBP",1
"Other","Agave sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Allium cepa","Land Border - Truck - Cargo - CBP",1
"Other","Allium fistulosum","Maritime Port - Vessel - Cargo - CBP",1
"Other","Allium sativum","Land Border - Truck - Cargo - CBP",1
"Other","Allium schoenoprasum","Maritime Port - Vessel - Cargo - CBP",1
"Other","Allium sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Alocasia sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Aloe sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Aloe vera","Airport - Aircraft - Cargo - PIS",1
"Other","Aloe vera","Land Border - Truck - Cargo - CBP",1
